District,Code,pov2010,pov2011,pov2012,pov2013,pov2014,pov2015,pov2016,pov2017,pov2018
Simeulue,1101,23.61,22.96,21.88,20.57,19.92,20.43,19.93,20.2,19.78
Aceh Singkil,1102,19.38,18.93,17.92,18.73,17.77,21.72,21.6,22.11,21.25
Aceh Selatan,1103,15.93,15.52,14.81,13.44,12.79,13.24,13.48,14.07,14.01
Aceh Tenggara,1104,16.78,16.39,15.64,14.39,13.75,14.91,14.46,14.86,14.29
Aceh Timur,1105,18.42,18.01,17.19,16.59,15.88,15.85,15.06,15.25,14.49
Aceh Tengah,1106,20.09,19.58,18.78,17.76,16.99,17.51,16.64,16.84,15.58
Aceh Barat,1107,24.42,23.81,22.76,23.7,22.97,21.46,20.38,20.28,19.31
Aceh Besar,1108,18.8,18.36,17.5,16.88,16.13,15.93,15.55,15.41,14.47
Pidie,1109,23.8,23.19,22.12,21.12,20.29,21.18,21.25,21.43,20.47
Bireuen,1110,19.5,19.06,18.21,17.65,16.94,16.94,15.95,15.87,14.31
Aceh Utara,1111,23.43,22.89,21.89,20.34,19.58,19.2,19.46,19.78,18.27
Aceh Barat Daya,1112,19.93,19.49,18.51,18.92,17.99,18.25,18.03,18.31,17.1
Gayo Lues,1113,23.9,23.38,22.31,22.33,21.43,21.95,21.86,21.97,20.7
Aceh Tamiang,1114,17.98,17.49,16.7,15.13,14.58,14.57,14.51,14.69,14.21
Nagan Raya,1115,24.06,23.38,22.27,21.75,20.85,20.13,19.25,19.34,18.97
Aceh Jaya,1116,20.17,19.8,18.3,17.53,16.52,15.93,15.01,14.85,14.16
Bener Meriah,1117,26.22,25.5,24.5,23.47,22.45,21.55,21.43,21.14,20.13
Pidie Jaya,1118,26.07,25.43,24.35,22.7,21.78,21.4,21.18,21.82,20.17
Kota Banda Aceh,1171,9.19,9.08,8.65,8.03,7.78,7.72,7.41,7.44,7.25
Kota Sabang,1172,21.68,21.31,20.51,18.31,17.02,17.69,17.33,17.66,16.31
Kota Langsa,1173,15.01,14.66,13.93,12.62,12.08,11.62,11.09,11.24,10.79
Kota Lhokseumawe,1174,14.07,13.73,13.06,12.47,11.93,12.16,11.98,12.32,11.81
Kota Subulussalam,1175,24.33,23.85,22.64,20.69,19.72,20.39,19.57,19.71,18.51
Nias,1201,19.97,19.11,18.67,17.28,16.39,18.05,17.64,18.11,16.37
Mandailing Natal,1202,12.6,11.98,11.57,9.62,9.28,11.13,10.98,11.02,9.58
Tapanuli Selatan,1203,11.96,11.4,11.1,11.33,10.74,11.37,11.15,10.6,9.16
Tapanuli Tengah,1204,16.73,15.96,15.03,15.41,14.47,15,14.58,14.66,13.17
Tapanuli Utara,1205,12.49,11.89,11.55,11.68,11.06,11.41,11.25,11.35,9.75
Toba Samosir,1206,10.15,9.67,9.43,9.54,9.23,10.21,10.08,10.19,8.67
Labuhan Batu,1207,10.67,10.15,9.61,8.53,8.2,8.99,8.95,8.89,8.61
Asahan,1208,11.42,10.85,10.52,11.6,10.98,12.09,11.86,11.67,10.25
Simalungun,1209,10.73,10.21,9.96,10.45,10.2,10.96,10.81,10.65,9.31
Dairi,1210,9.97,9.48,9.28,8.68,8.4,9.09,8.9,8.87,8.2
Karo,1211,11.02,10.49,9.93,9.79,9.2,9.68,9.81,9.97,8.67
Deli Serdang,1212,5.34,5.1,4.78,4.71,4.56,4.74,4.86,4.62,4.13
Langkat,1213,10.84,10.31,10.02,10.44,9.99,11.3,11.36,11.15,10.2
Nias Selatan,1214,20.72,19.71,19.04,18.83,17.81,19.05,18.6,18.48,16.65
Humbang Hasundutan,1215,10.6,10.09,9.72,10,9.44,9.85,9.78,9.85,9
Pakpak Bharat,1216,13.78,13.16,12.4,11.28,10.55,11.26,10.72,10.53,9.74
Samosir,1217,16.5,15.67,15.16,14.01,13.2,14.11,14.4,14.72,13.38
Serdang Bedagai,1218,10.59,10.07,9.89,9.35,8.98,9.59,9.53,9.3,8.22
Batu Bara,1219,12.28,11.67,11.24,11.92,11.25,12.61,12.24,12.48,12.57
Padang Lawas Utara,1220,11.19,10.64,9.98,10.28,9.6,10.97,10.87,10.7,10.06
Padang Lawas,1221,11.13,10.56,9.8,8.59,8.03,8.73,8.69,9.1,8.41
Labuhan Batu Selatan,1222,15.58,14.86,13.95,12.36,11.54,11.65,11.49,11.63,10
Labuhan Batu Utara,1223,12.32,11.77,11.34,11.34,10.71,11.31,10.97,11.28,10.12
Nias Utara,1224,31.9,30.44,29.49,30.94,29.28,32.62,30.92,29.06,26.56
Nias Barat,1225,30.89,29.32,28.56,29.65,28.1,29.96,28.36,27.23,26.72
Kota Sibolga,1271,13.9,13.18,13,12.9,12.26,13.48,13.3,13.69,12.38
